"Story","Title","Result","Date","Stability","Duration (s)"
"EMR-LIS Work Flows","Lab Odering","SUCCESS","2023-02-23T13:32:09.66Z[Etc/UTC]","0.0","0.14"
"EMR-LIS Work Flows","Report Lab Results","SUCCESS","2023-02-23T13:32:09.875Z[Etc/UTC]","0.0","0.04"
"Add Order","Order Number","SUCCESS","2023-02-23T13:32:09.963Z[Etc/UTC]","0.0","22.88"
"Add Order","Request and Received Date","SUCCESS","2023-02-23T13:32:32.882Z[Etc/UTC]","0.0","18.78"
"Add Order","Reception Time","SUCCESS","2023-02-23T13:32:51.694Z[Etc/UTC]","0.0","31.65"
"Add Order","Site Name","SUCCESS","2023-02-23T13:33:23.4Z[Etc/UTC]","0.0","10.45"
"Add Order","Requester's Name","SUCCESS","2023-02-23T13:33:33.877Z[Etc/UTC]","0.0","15.61"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-02-23T13:33:49.518Z[Etc/UTC]","0.0","34.46"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-02-23T13:34:24.005Z[Etc/UTC]","0.0","10.25"
"Add Order","Add samples","SUCCESS","2023-02-23T13:34:34.281Z[Etc/UTC]","0.0","10.24"
"Add Order","Collection Date","SUCCESS","2023-02-23T13:34:44.553Z[Etc/UTC]","0.0","34.48"
"Add Order","Collection Time","SUCCESS","2023-02-23T13:35:19.078Z[Etc/UTC]","0.0","37.23"
"Add Order","Collector","SUCCESS","2023-02-23T13:35:56.336Z[Etc/UTC]","0.0","11.61"
"Add Order","Available Tests and Panels","SUCCESS","2023-02-23T13:36:07.973Z[Etc/UTC]","0.0","17.87"
"Add Order","Patient Search","SUCCESS","2023-02-23T13:36:25.872Z[Etc/UTC]","0.0","14.9"
"Add Order","Patient Information","SUCCESS","2023-02-23T13:36:40.807Z[Etc/UTC]","0.0","142.91"
"Add Order","Overall Page","SUCCESS","2023-02-23T13:39:03.751Z[Etc/UTC]","0.0","36.89"
"User Login","Failing or Succeeding to Login","SUCCESS","2023-02-23T13:39:40.67Z[Etc/UTC]","0.0","18.66"
"Modify Order","Order Search","SUCCESS","2023-02-23T13:39:59.357Z[Etc/UTC]","0.0","37.91"
"Modify Order","Order Information","SUCCESS","2023-02-23T13:40:37.293Z[Etc/UTC]","0.0","40.12"
"Modify Order","Current Test Information","SUCCESS","2023-02-23T13:41:17.446Z[Etc/UTC]","0.0","30.84"
"Modify Order","Available Test Information","SUCCESS","2023-02-23T13:41:48.309Z[Etc/UTC]","0.0","11.8"
"Modify Order","Add Order","SUCCESS","2023-02-23T13:42:00.134Z[Etc/UTC]","0.0","36.01"
"Modify Order","Collection Date","SUCCESS","2023-02-23T13:42:36.167Z[Etc/UTC]","0.0","56.07"
