"Story","Title","Result","Date","Stability","Duration (s)"
"EMR-LIS Work Flows","Lab Odering","SUCCESS","2023-03-16T21:02:46.408Z[Etc/UTC]","0.0","0.17"
"EMR-LIS Work Flows","Report Lab Results","SUCCESS","2023-03-16T21:02:46.64Z[Etc/UTC]","0.0","0.03"
"Add Batch Orders Feature","Add Batch Orders action","ERROR","2023-03-16T21:02:46.733Z[Etc/UTC]","0.0","14.69"
"Add Batch Orders Feature","Batch Order Entry Screen","SUCCESS","2023-03-16T21:03:01.485Z[Etc/UTC]","0.0","12.94"
"Add Order","Order Number","SUCCESS","2023-03-16T21:03:14.465Z[Etc/UTC]","0.0","28.17"
"Add Order","Request and Received Date","SUCCESS","2023-03-16T21:03:42.677Z[Etc/UTC]","0.0","16.65"
"Add Order","Reception Time","SUCCESS","2023-03-16T21:03:59.368Z[Etc/UTC]","0.0","26.49"
"Add Order","Site Name","SUCCESS","2023-03-16T21:04:25.89Z[Etc/UTC]","0.0","8.59"
"Add Order","Requester's Name","SUCCESS","2023-03-16T21:04:34.518Z[Etc/UTC]","0.0","12.07"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-03-16T21:04:46.621Z[Etc/UTC]","0.0","27.58"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-03-16T21:05:14.232Z[Etc/UTC]","0.0","8.35"
"Add Order","Add samples","SUCCESS","2023-03-16T21:05:22.619Z[Etc/UTC]","0.0","11.36"
"Add Order","Collection Date","SUCCESS","2023-03-16T21:05:34.016Z[Etc/UTC]","0.0","29.68"
"Add Order","Collection Time","SUCCESS","2023-03-16T21:06:03.727Z[Etc/UTC]","0.0","29.57"
"Add Order","Collector","SUCCESS","2023-03-16T21:06:33.329Z[Etc/UTC]","0.0","8.75"
"Add Order","Available Tests and Panels","SUCCESS","2023-03-16T21:06:42.112Z[Etc/UTC]","0.0","16.0"
"Add Order","Patient Search","SUCCESS","2023-03-16T21:06:58.149Z[Etc/UTC]","0.0","14.42"
"Add Order","Patient Information","SUCCESS","2023-03-16T21:07:12.611Z[Etc/UTC]","0.0","140.16"
"Add Order","Overall Page","SUCCESS","2023-03-16T21:09:32.807Z[Etc/UTC]","0.0","34.84"
"Configurable Items Feature","Order Entry Configuration","SUCCESS","2023-03-16T21:10:07.682Z[Etc/UTC]","0.0","6.63"
"User Login","Failing or Succeeding to Login","SUCCESS","2023-03-16T21:10:14.355Z[Etc/UTC]","0.0","14.74"
"Modify Order","Order Search","ERROR","2023-03-16T21:10:29.128Z[Etc/UTC]","0.0","76.12"
"Modify Order","Order Information","FAILURE","2023-03-16T21:11:45.284Z[Etc/UTC]","0.0","6.8"
"Modify Order","Current Test Information","FAILURE","2023-03-16T21:11:52.12Z[Etc/UTC]","0.0","6.85"
"Modify Order","Available Test Information","FAILURE","2023-03-16T21:11:59.001Z[Etc/UTC]","0.0","6.7"
"Modify Order","Add Order","ERROR","2023-03-16T21:12:05.741Z[Etc/UTC]","0.0","58.82"
"Modify Order","Collection Date","ERROR","2023-03-16T21:13:04.593Z[Etc/UTC]","0.0","235.3"
"Modify Order","Collection Time","ERROR","2023-03-16T21:16:59.93Z[Etc/UTC]","0.0","295.41"
"Modify Order","Add Tests","ERROR","2023-03-16T21:21:55.374Z[Etc/UTC]","0.0","118.07"
"Modify Order","Verification","SUCCESS","2023-03-16T21:23:53.477Z[Etc/UTC]","0.0","9.11"
"Non Conformity workflow","Search Non Conformity report","SUCCESS","2023-03-16T21:24:02.62Z[Etc/UTC]","0.0","14.73"
"Patient Entry","Patient Search","SUCCESS","2023-03-16T21:24:17.39Z[Etc/UTC]","0.0","58.94"
"Patient Entry","Patient Information","SUCCESS","2023-03-16T21:25:16.363Z[Etc/UTC]","0.0","46.65"
"Patient Entry","Overall Page","SUCCESS","2023-03-16T21:26:03.053Z[Etc/UTC]","0.0","32.44"
"Patient Entry","Verification","FAILURE","2023-03-16T21:26:35.525Z[Etc/UTC]","0.0","11.43"
"Patient Report","Patient Report With no result yet","SUCCESS","2023-03-16T21:26:46.997Z[Etc/UTC]","0.0","14.97"
"Patient Report","Patient Report With Partial result reported","SUCCESS","2023-03-16T21:27:02.005Z[Etc/UTC]","0.0","50.05"
"Referral Work Flow","Register a patient's sample for Covid testing and send the lab request and sample to the Central Health Laboratory","ERROR","2023-03-16T21:27:52.092Z[Etc/UTC]","0.0","159.3"
"Referral Work Flow","Register test requests sent electronically from the Flu Clinic","SUCCESS","2023-03-16T21:30:31.43Z[Etc/UTC]","0.0","9.61"
"Results Entry","Accessing Results Entry","SUCCESS","2023-03-16T21:30:41.078Z[Etc/UTC]","0.0","13.42"
"Results Entry","Searching for test result entry forms","SUCCESS","2023-03-16T21:30:54.531Z[Etc/UTC]","0.0","21.91"
"Results Entry","Results Entry Set-up","SUCCESS","2023-03-16T21:31:16.477Z[Etc/UTC]","0.0","55.95"
"Results Entry","Entering Test Results","SUCCESS","2023-03-16T21:32:12.458Z[Etc/UTC]","0.0","16.4"
"Results Entry","Overall Page","FAILURE","2023-03-16T21:32:28.887Z[Etc/UTC]","0.0","35.97"
"Results Entry","Verification","FAILURE","2023-03-16T21:33:04.893Z[Etc/UTC]","0.0","13.26"
"Results Entry","Accept As Is functionality","SUCCESS","2023-03-16T21:33:18.187Z[Etc/UTC]","0.0","14.27"
"Results Entry","Changing Results","FAILURE","2023-03-16T21:33:41.122Z[Etc/UTC]","0.0","11.76"
"Test Management Feature","Validate list items in Test Management menu","SUCCESS","2023-03-16T21:33:52.941Z[Etc/UTC]","0.0","5.79"
"Test Management Feature","Open Rename Existing Test Names page","ERROR","2023-03-16T21:33:58.775Z[Etc/UTC]","0.0","116.05"
"Test Management Feature","User rejects the testName updates","ERROR","2023-03-16T21:35:54.859Z[Etc/UTC]","0.0","57.98"
"Test Management Feature","User cancels the testName updates","ERROR","2023-03-16T21:36:52.877Z[Etc/UTC]","0.0","57.93"
"Test Management Feature","Add new tests","ERROR","2023-03-16T21:37:50.837Z[Etc/UTC]","0.0","70.84"
"Test Management Feature","Verify Added new testName","FAILURE","2023-03-16T21:39:01.725Z[Etc/UTC]","0.0","17.93"
"Test Management Feature","Modify test details","ERROR","2023-03-16T21:39:19.694Z[Etc/UTC]","0.0","98.55"
"User management Feature","Create new user","SUCCESS","2023-03-16T21:40:58.283Z[Etc/UTC]","0.0","17.86"
"Validation","Validation","FAILURE","2023-03-16T21:41:16.178Z[Etc/UTC]","0.0","64.43"
"Validation","Overall Page","FAILURE","2023-03-16T21:42:20.646Z[Etc/UTC]","0.0","11.98"
"Validation","Verification","SUCCESS","2023-03-16T21:42:32.661Z[Etc/UTC]","0.0","18.33"
"WorkPlan Feature","Work plan by Test","SUCCESS","2023-03-16T21:42:51.03Z[Etc/UTC]","0.0","13.01"
"WorkPlan Feature","Work plan by Panel","FAILURE","2023-03-16T21:43:04.078Z[Etc/UTC]","0.0","11.76"
"WorkPlan Feature","Work plan by Unit","SUCCESS","2023-03-16T21:43:15.875Z[Etc/UTC]","0.0","9.75"
"WorkPlan Feature","Verification","ERROR","2023-03-16T21:43:25.663Z[Etc/UTC]","0.0","71.34"
